left_EAR,right_EAR,Label
0.333257513,0.355170627,1
0.144785492,0.153754696,1
0.354108719,0.347183466,1
0.08142348,0.075678854,1
0.334829944,0.337781291,1
0.123508891,0.093697428,1
0.377015527,0.422622749,1
0.33978683,0.386302313,1
0.119423056,0.143939771,1
0.177866831,0.155180045,1
0.120853945,0.145783836,1
0.322212649,0.327919656,1
0.134352205,0.125935133,1
0.028979151,0.046906575,1
0.187541059,0.23960293,1
0.337531835,0.322430968,1
0.107499268,0.105804015,1
0.129464434,0.106211283,1
0.151546181,0.130592248,1
0.338173734,0.309969019,1
0.331741278,0.362054912,1
0.296928484,0.303049956,1
0.096849753,0.130175122,1
0.351713657,0.380713139,1
0.057279217,0.068617698,1
0.399267426,0.402811696,1
0.21270403,0.28348875,1
0.125923544,0.11344604,1
0.146382668,0.138936641,1
0.34384827,0.343306782,1
0.295029949,0.254521104,1
0.04354403,0.068188069,1
0.210542799,0.222584348,1
0.013347276,0.023461503,1
0.137598273,0.152386492,1
0.089914928,0.081146293,1
0.083513006,0.0902237,1
0.093752771,0.167722404,1
0.333300742,0.334126647,1
0.060458066,0.073761221,1
0.181850197,0.14447081,1
0.34872947,0.31735128,1
0.151304267,0.148244596,1
0.317235757,0.284135504,1
0.351197727,0.389814588,1
0.298590168,0.304050971,1
0.418059041,0.388232402,1
0.412268991,0.384928317,1
0.12095276,0.206000431,1
0.400018488,0.421408267,1
0.31204383,0.316786434,1
0.325284499,0.330982333,1
0.325358098,0.342005577,1
0.089915336,0.094640731,1
0.294851442,0.290679095,1
0.133945858,0.141173967,1
0.125470333,0.146199404,1
0.109307077,0.08458998,1
0.023382992,0.02618487,1
0.269531095,0.272131098,1
0.166062423,0.154294332,1
0.116894841,0.153796848,1
0.368495009,0.349087177,1
0.352568358,0.361597425,1
0.281182812,0.319644734,1
0.168479564,0.143866184,1
0.130079721,0.139693045,1
0.341589424,0.364372241,1
0.38337917,0.363731305,1
0.028954208,0.039333866,1
0.091135703,0.089612855,1
0.309761561,0.303364018,1
0.022829812,0.028061489,1
0.302078856,0.266635616,1
0.206432884,0.207842868,1
0.112935876,0.133696443,1
0.126127125,0.131479015,1
0.119840277,0.119123782,1
0.110859144,0.142362919,1
0.110477274,0.132885211,1
0.159253326,0.231910559,1
0.373311732,0.348654118,1
0.028865227,0.032633016,1
0.319680926,0.319060223,1
0.054595634,0.066973648,1
0.352219962,0.347342067,1
0.063153835,0.077006448,1
0.102150896,0.036388428,1
0.265394978,0.135377723,1
0.050911228,0.05341012,1
0.332087502,0.313323768,1
0.30234276,0.289713869,1
0.025926084,0.02839163,1
0.132371108,0.135149393,1
0.368303758,0.358677295,1
0.078933442,0.095554913,1
0.31829988,0.302080894,1
0.106362112,0.130617167,1
0.342274506,0.367689728,1
0.117339739,0.137120963,1
0.282033689,0.27205233,1
0.30526934,0.311066491,1
0.291563525,0.24011337,1
0.248166626,0.197470001,1
0.354388524,0.3486753,1
0.077313523,0.088668567,1
0.341549153,0.369763043,1
0.350792834,0.342515083,1
0.087089544,0.090674967,1
0.350843746,0.352193922,1
0.149790137,0.148826221,1
0.306846965,0.307590729,1
